# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 209:         4.518       52.465       0.00  IJMOND
# 210:         4.430       52.171      -0.20  VALKENBURG
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 248:         5.174       52.634       0.80  WIJDENES
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 260:         5.180       52.100       1.90  DE BILT
# 265:         5.274       52.130      13.90  SOESTERBERG
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 273:         5.888       52.703      -3.30  MARKNESSE
# 275:         5.873       52.056      48.20  DEELEN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 278:         6.259       52.435       3.60  HEINO
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 290:         6.891       52.274      34.80  TWENTHE
# 308:         3.379       51.381       0.00  CADZAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 315:         3.998       51.447       0.00  HANSWEERT
# 316:         3.694       51.657       0.00  SCHAAR
# 319:         3.861       51.226       1.70  WESTDORPE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 324:         4.006       51.596       0.00  STAVENISSE
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 331:         4.193       51.480       0.00  THOLEN
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 348:         4.926       51.970      -0.70  CABAUW
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 356:         5.146       51.859       0.70  HERWIJNEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 375:         5.707       51.659      22.00  VOLKEL
# 377:         5.763       51.198      30.00  ELL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# Q        = Globale straling (in J/cm2); 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,    Q,   NG
# 
  209,20150101,     ,     
  209,20150102,     ,     
  209,20150103,     ,     
  209,20150104,     ,     
  209,20150105,     ,     
  209,20150106,     ,     
  209,20150107,     ,     
  209,20150108,     ,     
  209,20150109,     ,     
  209,20150110,     ,     
  209,20150111,     ,     
  209,20150112,     ,     
  209,20150113,     ,     
  209,20150114,     ,     
  209,20150115,     ,     
  209,20150116,     ,     
  209,20150117,     ,     
  209,20150118,     ,     
  209,20150119,     ,     
  209,20150120,     ,     
  209,20150121,     ,     
  209,20150122,     ,     
  209,20150123,     ,     
  209,20150124,     ,     
  209,20150125,     ,     
  209,20150126,     ,     
  209,20150127,     ,     
  209,20150128,     ,     
  209,20150129,     ,     
  209,20150130,     ,     
  209,20150131,     ,     
  209,20150201,     ,     
  209,20150202,     ,     
  209,20150203,     ,     
  209,20150204,     ,     
  209,20150205,     ,     
  209,20150206,     ,     
  209,20150207,     ,     
  209,20150208,     ,     
  209,20150209,     ,     
  209,20150210,     ,     
  209,20150211,     ,     
  209,20150212,     ,     
  209,20150213,     ,     
  209,20150214,     ,     
  209,20150215,     ,     
  209,20150216,     ,     
  209,20150217,     ,     
  209,20150218,     ,     
  209,20150219,     ,     
  209,20150220,     ,     
  209,20150221,     ,     
  209,20150222,     ,     
  209,20150223,     ,     
  209,20150224,     ,     
  209,20150225,     ,     
  209,20150226,     ,     
  209,20150227,     ,     
  209,20150228,     ,     
  209,20150301,     ,     
  209,20150302,     ,     
  209,20150303,     ,     
  209,20150304,     ,     
  209,20150305,     ,     
  209,20150306,     ,     
  209,20150307,     ,     
  209,20150308,     ,     
  209,20150309,     ,     
  209,20150310,     ,     
  209,20150311,     ,     
  209,20150312,     ,     
  209,20150313,     ,     
  209,20150314,     ,     
  209,20150315,     ,     
  209,20150316,     ,     
  209,20150317,     ,     
  209,20150318,     ,     
  209,20150319,     ,     
  209,20150320,     ,     
  209,20150321,     ,     
  209,20150322,     ,     
  209,20150323,     ,     
  209,20150324,     ,     
  209,20150325,     ,     
  209,20150326,     ,     
  209,20150327,     ,     
  209,20150328,     ,     
  209,20150329,     ,     
  209,20150330,     ,     
  209,20150331,     ,     
  209,20150401,     ,     
  209,20150402,     ,     
  209,20150403,     ,     
  209,20150404,     ,     
  209,20150405,     ,     
  209,20150406,     ,     
  209,20150407,     ,     
  209,20150408,     ,     
  209,20150409,     ,     
  209,20150410,     ,     
  209,20150411,     ,     
  209,20150412,     ,     
  209,20150413,     ,     
  209,20150414,     ,     
  209,20150415,     ,     
  209,20150416,     ,     
  209,20150417,     ,     
  209,20150418,     ,     
  209,20150419,     ,     
  209,20150420,     ,     
  209,20150421,     ,     
  209,20150422,     ,     
  209,20150423,     ,     
  209,20150424,     ,     
  209,20150425,     ,     
  209,20150426,     ,     
  209,20150427,     ,     
  209,20150428,     ,     
  209,20150429,     ,     
  209,20150430,     ,     
  209,20150501,     ,     
  209,20150502,     ,     
  209,20150503,     ,     
  209,20150504,     ,     
  209,20150505,     ,     
  209,20150506,     ,     
  209,20150507,     ,     
  209,20150508,     ,     
  209,20150509,     ,     
  209,20150510,     ,     
  209,20150511,     ,     
  209,20150512,     ,     
  209,20150513,     ,     
  209,20150514,     ,     
  209,20150515,     ,     
  209,20150516,     ,     
  209,20150517,     ,     
  209,20150518,     ,     
  209,20150519,     ,     
  209,20150520,     ,     
  209,20150521,     ,     
  209,20150522,     ,     
  209,20150523,     ,     
  209,20150524,     ,     
  209,20150525,     ,     
  209,20150526,     ,     
  209,20150527,     ,     
  209,20150528,     ,     
  209,20150529,     ,     
  209,20150530,     ,     
  209,20150531,     ,     
  209,20150601,     ,     
  209,20150602,     ,     
  209,20150603,     ,     
  209,20150604,     ,     
  209,20150605,     ,     
  209,20150606,     ,     
  209,20150607,     ,     
  209,20150608,     ,     
  209,20150609,     ,     
  209,20150610,     ,     
  209,20150611,     ,     
  209,20150612,     ,     
  209,20150613,     ,     
  209,20150614,     ,     
  209,20150615,     ,     
  209,20150616,     ,     
  209,20150617,     ,     
  209,20150618,     ,     
  209,20150619,     ,     
  209,20150620,     ,     
  209,20150621,     ,     
  209,20150622,     ,     
  209,20150623,     ,     
  209,20150624,     ,     
  209,20150625,     ,     
  209,20150626,     ,     
  209,20150627,     ,     
  209,20150628,     ,     
  209,20150629,     ,     
  209,20150630,     ,     
  209,20150701,     ,     
  209,20150702,     ,     
  209,20150703,     ,     
  209,20150704,     ,     
  209,20150705,     ,     
  209,20150706,     ,     
  209,20150707,     ,     
  209,20150708,     ,     
  209,20150709,     ,     
  209,20150710,     ,     
  209,20150711,     ,     
  209,20150712,     ,     
  209,20150713,     ,     
  209,20150714,     ,     
  209,20150715,     ,     
  209,20150716,     ,     
  209,20150717,     ,     
  209,20150718,     ,     
  209,20150719,     ,     
  209,20150720,     ,     
  209,20150721,     ,     
  209,20150722,     ,     
  209,20150723,     ,     
  209,20150724,     ,     
  209,20150725,     ,     
  209,20150726,     ,     
  209,20150727,     ,     
  209,20150728,     ,     
  209,20150729,     ,     
  209,20150730,     ,     
  209,20150731,     ,     
  209,20150801,     ,     
  209,20150802,     ,     
  209,20150803,     ,     
  209,20150804,     ,     
  209,20150805,     ,     
  209,20150806,     ,     
  209,20150807,     ,     
  209,20150808,     ,     
  209,20150809,     ,     
  209,20150810,     ,     
  209,20150811,     ,     
  209,20150812,     ,     
  209,20150813,     ,     
  209,20150814,     ,     
  209,20150815,     ,     
  209,20150816,     ,     
  209,20150817,     ,     
  209,20150818,     ,     
  209,20150819,     ,     
  209,20150820,     ,     
  209,20150821,     ,     
  209,20150822,     ,     
  209,20150823,     ,     
  209,20150824,     ,     
  209,20150825,     ,     
  209,20150826,     ,     
  209,20150827,     ,     
  209,20150828,     ,     
  209,20150829,     ,     
  209,20150830,     ,     
  209,20150831,     ,     
  209,20150901,     ,     
  209,20150902,     ,     
  209,20150903,     ,     
  209,20150904,     ,     
  209,20150905,     ,     
  209,20150906,     ,     
  209,20150907,     ,     
  209,20150908,     ,     
  209,20150909,     ,     
  209,20150910,     ,     
  209,20150911,     ,     
  209,20150912,     ,     
  209,20150913,     ,     
  209,20150914,     ,     
  209,20150915,     ,     
  209,20150916,     ,     
  209,20150917,     ,     
  209,20150918,     ,     
  209,20150919,     ,     
  209,20150920,     ,     
  209,20150921,     ,     
  209,20150922,     ,     
  209,20150923,     ,     
  209,20150924,     ,     
  209,20150925,     ,     
  209,20150926,     ,     
  209,20150927,     ,     
  209,20150928,     ,     
  209,20150929,     ,     
  209,20150930,     ,     
  209,20151001,     ,     
  209,20151002,     ,     
  209,20151003,     ,     
  209,20151004,     ,     
  209,20151005,     ,     
  209,20151006,     ,     
  209,20151007,     ,     
  209,20151008,     ,     
  209,20151009,     ,     
  209,20151010,     ,     
  209,20151011,     ,     
  209,20151012,     ,     
  209,20151013,     ,     
  209,20151014,     ,     
  209,20151015,     ,     
  209,20151016,     ,     
  209,20151017,     ,     
  209,20151018,     ,     
  209,20151019,     ,     
  209,20151020,     ,     
  209,20151021,     ,     
  209,20151022,     ,     
  209,20151023,     ,     
  209,20151024,     ,     
  209,20151025,     ,     
  209,20151026,     ,     
  209,20151027,     ,     
  209,20151028,     ,     
  209,20151029,     ,     
  209,20151030,     ,     
  209,20151031,     ,     
  209,20151101,     ,     
  209,20151102,     ,     
  209,20151103,     ,     
  209,20151104,     ,     
  209,20151105,     ,     
  209,20151106,     ,     
  209,20151107,     ,     
  209,20151108,     ,     
  209,20151109,     ,     
  209,20151110,     ,     
  209,20151111,     ,     
  209,20151112,     ,     
  209,20151113,     ,     
  209,20151114,     ,     
  209,20151115,     ,     
  209,20151116,     ,     
  209,20151117,     ,     
  209,20151118,     ,     
  209,20151119,     ,     
  209,20151120,     ,     
  209,20151121,     ,     
  209,20151122,     ,     
  209,20151123,     ,     
  209,20151124,     ,     
  209,20151125,     ,     
  209,20151126,     ,     
  209,20151127,     ,     
  209,20151128,     ,     
  209,20151129,     ,     
  209,20151130,     ,     
  209,20151201,     ,     
  209,20151202,     ,     
  209,20151203,     ,     
  209,20151204,     ,     
  209,20151205,     ,     
  209,20151206,     ,     
  209,20151207,     ,     
  209,20151208,     ,     
  209,20151209,     ,     
  209,20151210,     ,     
  209,20151211,     ,     
  209,20151212,     ,     
  209,20151213,     ,     
  209,20151214,     ,     
  209,20151215,     ,     
  209,20151216,     ,     
  209,20151217,     ,     
  209,20151218,     ,     
  209,20151219,     ,     
  209,20151220,     ,     
  209,20151221,     ,     
  209,20151222,     ,     
  209,20151223,     ,     
  209,20151224,     ,     
  209,20151225,     ,     
  209,20151226,     ,     
  209,20151227,     ,     
  209,20151228,     ,     
  209,20151229,     ,     
  209,20151230,     ,     
  209,20151231,     ,     
  209,20160101,     ,     
  209,20160102,     ,     
  209,20160103,     ,     
  209,20160104,     ,     
  209,20160105,     ,     
  209,20160106,     ,     
  209,20160107,     ,     
  209,20160108,     ,     
  209,20160109,     ,     
  209,20160110,     ,     
  209,20160111,     ,     
  209,20160112,     ,     
  209,20160113,     ,     
  209,20160114,     ,     
  209,20160115,     ,     
  209,20160116,     ,     
  209,20160117,     ,     
  209,20160118,     ,     
  209,20160119,     ,     
  209,20160120,     ,     
  209,20160121,     ,     
  209,20160122,     ,     
  209,20160123,     ,     
  209,20160124,     ,     
  209,20160125,     ,     
  209,20160126,     ,     
  209,20160127,     ,     
  209,20160128,     ,     
  209,20160129,     ,     
  209,20160130,     ,     
  209,20160131,     ,     
  209,20160201,     ,     
  209,20160202,     ,     
  209,20160203,     ,     
  209,20160204,     ,     
  209,20160205,     ,     
  209,20160206,     ,     
  209,20160207,     ,     
  209,20160208,     ,     
  209,20160209,     ,     
  209,20160210,     ,     
  209,20160211,     ,     
  209,20160212,     ,     
  209,20160213,     ,     
  209,20160214,     ,     
  209,20160215,     ,     
  209,20160216,     ,     
  209,20160217,     ,     
  209,20160218,     ,     
  209,20160219,     ,     
  209,20160220,     ,     
  209,20160221,     ,     
  209,20160222,     ,     
  209,20160223,     ,     
  209,20160224,     ,     
  209,20160225,     ,     
  209,20160226,     ,     
  209,20160227,     ,     
  209,20160228,     ,     
  209,20160229,     ,     
  209,20160301,     ,     
  209,20160302,     ,     
  209,20160303,     ,     
  209,20160304,     ,     
  209,20160305,     ,     
  209,20160306,     ,     
  209,20160307,     ,     
  209,20160308,     ,     
  209,20160309,     ,     
  209,20160310,     ,     
  209,20160311,     ,     
  209,20160312,     ,     
  209,20160313,     ,     
  209,20160314,     ,     
  209,20160315,     ,     
  209,20160316,     ,     
  209,20160317,     ,     
  209,20160318,     ,     
  209,20160319,     ,     
  209,20160320,     ,     
  209,20160321,     ,     
  209,20160322,     ,     
  209,20160323,     ,     
  209,20160324,     ,     
  209,20160325,     ,     
  209,20160326,     ,     
  209,20160327,     ,     
  209,20160328,     ,     
  209,20160329,     ,     
  209,20160330,     ,     
  209,20160331,     ,     
  209,20160401,     ,     
  209,20160402,     ,     
  209,20160403,     ,     
  209,20160404,     ,     
  209,20160405,     ,     
  209,20160406,     ,     
  209,20160407,     ,     
  209,20160408,     ,     
  209,20160409,     ,     
  209,20160410,     ,     
  209,20160411,     ,     
  209,20160412,     ,     
  209,20160413,     ,     
  209,20160414,     ,     
  209,20160415,     ,     
  209,20160416,     ,     
  209,20160417,     ,     
  209,20160418,     ,     
  209,20160419,     ,     
  209,20160420,     ,     
  209,20160421,     ,     
  209,20160422,     ,     
  209,20160423,     ,     
  209,20160424,     ,     
  209,20160425,     ,     
  209,20160426,     ,     
  209,20160427,     ,     
  209,20160428,     ,     
  209,20160429,     ,     
  209,20160430,     ,     
  209,20160501,     ,     
  209,20160502,     ,     
  209,20160503,     ,     
  209,20160504,     ,     
  209,20160505,     ,     
  209,20160506,     ,     
  209,20160507,     ,     
  209,20160508,     ,     
  209,20160509,     ,     
  209,20160510,     ,     
  209,20160511,     ,     
  209,20160512,     ,     
  209,20160513,     ,     
  209,20160514,     ,     
  209,20160515,     ,     
  209,20160516,     ,     
  209,20160517,     ,     
  209,20160518,     ,     
  209,20160519,     ,     
  209,20160520,     ,     
  209,20160521,     ,     
  209,20160522,     ,     
  209,20160523,     ,     
  209,20160524,     ,     
  209,20160525,     ,     
  209,20160526,     ,     
  209,20160527,     ,     
  209,20160528,     ,     
  209,20160529,     ,     
  209,20160530,     ,     
  209,20160531,     ,     
  209,20160601,     ,     
  209,20160602,     ,     
  209,20160603,     ,     
  209,20160604,     ,     
  209,20160605,     ,     
